event_id,name,year,date_raw,format,location,weight,notes
73,Boston Key Party CTF 2015,2015,"27 Feb., 14:00 PST — 01 March 2015, 09:00 PST",Jeopardy,Online,60,N/A
74,Sharif University CTF Finals 2015,2015,"16 Feb., 19:00 PST — 17 Feb. 2015, 05:00 PST",Jeopardy,On-site,0,N/A
75,Break In 2015,2015,"14 Feb., 10:30 PST — 14 Feb. 2015, 22:30 PST",Jeopardy,Online,5,N/A
76,Hackfest CTF 2015,2015,"07 Feb., 00:00 PST — 07 Feb. 2015, 12:00 PST",Jeopardy,On-site,0,N/A
77,SECCON CTF 2014 Finals,2015,"06 Feb., 16:00 PST — 08 Feb. 2015, 01:00 PST",Jeopardy,On-site,30,N/A
78,WCTF - th3jackers,2015,"23 Jan., 12:00 PST — 24 Jan. 2015, 00:00 PST",Jeopardy,Online,5,N/A
79,Ghost in the Shellcode 2015,2015,"16 Jan., 12:30 PST — 18 Jan. 2015, 09:30 PST",Jeopardy,Online,80,N/A
80,Insomni'hack teaser 2015,2015,"10 Jan., 01:00 PST — 11 Jan. 2015, 13:00 PST",Jeopardy,Online,20,N/A
81,HackIM 2015,2015,"08 Jan., 22:30 PST — 10 Jan. 2015, 22:30 PST",Jeopardy,Online,10,N/A
82,33C3 CTF,2016,"27 Dec., 12:00 PST — 29 Dec. 2016, 12:00 PST",Jeopardy,Online,88.49,N/A
83,"The 318br, DESEC, and SucuriHC Capture The Flag (3DSCTF)",2016,"16 Dec., 20:00 PST — 23 Dec. 2016, 20:00 PST",Jeopardy,Online,23.24,N/A
84,WhiteHat Grand Prix 2016,2016,"16 Dec., 18:00 PST — 17 Dec. 2016, 18:00 PST",Jeopardy,Online,24.12,N/A
85,SharifCTF 7,2016,"16 Dec., 06:30 PST — 18 Dec. 2016, 06:30 PST",Jeopardy,Online,43.48,N/A
86,SECCON 2016 Online CTF,2016,"09 Dec., 22:00 PST — 10 Dec. 2016, 22:00 PST",Jeopardy,Online,30,N/A
87,HITCON CTF 2016 Final,2016,"01 Dec., 18:00 PST — 02 Dec. 2016, 23:30 PST",Attack-Defense,On-site,43.33,N/A
88,QCTF Starter 2016,2016,"26 Nov., 20:00 PST — 27 Nov. 2016, 10:00 PST",Jeopardy,On-site,0,School teams only
89,Juniors CTF 2016,2016,"25 Nov., 07:00 PST — 27 Nov. 2016, 07:00 PST",Jeopardy,Online,0,N/A
90,InnoCTF 2016,2016,"19 Nov., 23:00 PST — 20 Nov. 2016, 07:00 PST",Jeopardy,On-site,0,School teams only
91,RC3 CTF 2016,2016,"18 Nov., 18:00 PST — 20 Nov. 2016, 23:00 PST",Jeopardy,Online,18.9,N/A
92,GreHack CTF 2016,2016,"18 Nov., 12:00 PST — 18 Nov. 2016, 22:00 PST",Jeopardy,On-site,0,N/A
93,Trend Micro CTF 2016 The Final,2016,"18 Nov., 07:14 PST — 19 Nov. 2016, 07:17 PST",Attack-Defense,On-site,16.67,N/A
94,Qiwi-Infosec CTF-2016,2016,"16 Nov., 23:00 PST — 18 Nov. 2016, 07:00 PST",Jeopardy,Online,15.93,N/A
95,RuCTFE 2016,2016,"12 Nov., 02:00 PST — 12 Nov. 2016, 11:00 PST",Attack-Defense,Online,76.13,N/A
96,CSAW CTF Final Round 2016,2016,"10 Nov., 14:00 PST — 12 Nov. 2016, 02:00 PST",Jeopardy,Online,25,N/A
97,DefCamp CTF Finals 2016,2016,"10 Nov., 03:00 PST — 11 Nov. 2016, 03:00 PST",Jeopardy,On-site,22,N/A
98,Moscow CTF School 2016,2016,"06 Nov., 03:00 PST — 06 Nov. 2016, 08:00 PST",Jeopardy,On-site,0,N/A
99,School CTF 2016,2016,"05 Nov., 22:00 PDT — 06 Nov. 2016, 05:00 PST",Jeopardy,Online,25,N/A
100,Hack The Vote 2016,2016,"04 Nov., 16:00 PDT — 06 Nov. 2016, 15:00 PST",Jeopardy,Online,23.11,N/A
101,EKOPARTY CTF 2016,2016,"26 Oct., 13:00 PDT — 28 Oct. 2016, 13:00 PDT",Jeopardy,Online,55.06,N/A
102,ECTF 2016,2016,"22 Oct., 19:00 PDT — 23 Oct. 2016, 07:00 PDT",Jeopardy,Online,0,N/A
103,CBIT Headstart CTF 2016,2016,"20 Oct., 22:00 PDT — 22 Oct. 2016, 03:00 PDT",Jeopardy,On-site,0,N/A
104,Hack.lu CTF 2016,2016,"19 Oct., 03:00 PDT — 20 Oct. 2016, 03:00 PDT",Jeopardy,Online,55.04,N/A
105,KrasCTF 2016,2016,"14 Oct., 19:00 PDT — 16 Oct. 2016, 07:00 PDT",Jeopardy,On-site,0,School teams only
106,UConn CyberSEED 2016,2016,"10 Oct., 11:00 PDT — 11 Oct. 2016, 11:00 PDT",Jeopardy,On-site,0,N/A
107,CyberSEED Social Engineering Competition 2016,2016,"10 Oct., 06:00 PDT — 11 Oct. 2016, 14:00 PDT",Jeopardy,On-site,0,N/A
108,SpbCTF 2016,2016,"09 Oct., 00:00 PDT — 09 Oct. 2016, 09:00 PDT",Jeopardy,On-site,0,Academic teams only
109,H4ckIT CTF 2016 Offline,2016,"08 Oct., 15:44 PDT — 08 Oct. 2016, 15:44 PDT",Jeopardy,On-site,0,Prequalified teams only
